YEAR,REGION,CROP,UNIT,YIELD,HUMIDITY,RAINFALL,TEMPERATURE
1995,United Republic of Tanzania,Maize (corn),100 g/ha,21012.0,65.83,998.67,22.63
1996,United Republic of Tanzania,Maize (corn),100 g/ha,17861.0,65.6,967.31,22.41
1997,United Republic of Tanzania,Maize (corn),100 g/ha,11708.0,66.42,1251.33,22.67
1998,United Republic of Tanzania,Maize (corn),100 g/ha,12857.0,66.42,1090.15,22.74
1999,United Republic of Tanzania,Maize (corn),100 g/ha,25283.0,64.76,921.45,22.39
2000,United Republic of Tanzania,Maize (corn),100 g/ha,19314.0,64.34,965.32,22.54
2001,United Republic of Tanzania,Maize (corn),100 g/ha,31359.0,66.82,978.23,22.33
2002,United Republic of Tanzania,Maize (corn),100 g/ha,25657.0,67.6,1161.93,22.41
2003,United Republic of Tanzania,Maize (corn),100 g/ha,7549.0,64.01,766.1,22.95
2004,United Republic of Tanzania,Maize (corn),100 g/ha,14659.0,66.07,1033.49,22.67
2005,United Republic of Tanzania,Maize (corn),100 g/ha,10071.0,63.51,764,23.21
2006,United Republic of Tanzania,Maize (corn),100 g/ha,13318.0,66.72,1188.89,22.77
2007,United Republic of Tanzania,Maize (corn),100 g/ha,14071.0,66.23,955.71,22.82
2008,United Republic of Tanzania,Maize (corn),100 g/ha,13667.0,66.04,1001.42,22.52
2009,United Republic of Tanzania,Maize (corn),100 g/ha,11232.0,64.49,950.63,23.02
2010,United Republic of Tanzania,Maize (corn),100 g/ha,15515.0,64.69,968.48,23.09
2011,United Republic of Tanzania,Maize (corn),100 g/ha,13203.0,67.03,1155.68,22.81
2012,United Republic of Tanzania,Maize (corn),100 g/ha,12395.0,65.55,1016.96,22.89
2013,United Republic of Tanzania,Maize (corn),100 g/ha,13000.0,64.86,1046.19,22.96
2014,United Republic of Tanzania,Maize (corn),100 g/ha,16250.0,66.76,1074.59,22.94
2015,United Republic of Tanzania,Maize (corn),100 g/ha,15584.0,66.38,1071.83,23.2
2016,United Republic of Tanzania,Maize (corn),100 g/ha,15856.0,65.53,990.02,23.2
2017,United Republic of Tanzania,Maize (corn),100 g/ha,17499.0,65.84,1050.88,23.33
2018,United Republic of Tanzania,Maize (corn),100 g/ha,17689.0,67.76,1171.65,22.8
2019,United Republic of Tanzania,Maize (corn),100 g/ha,16485.0,67.95,1231.8,23.28
2020,United Republic of Tanzania,Maize (corn),100 g/ha,15979.0,69.37,1327.04,22.92
2021,United Republic of Tanzania,Maize (corn),100 g/ha,15998.0,66.08,903.38,22.97
2022,United Republic of Tanzania,Maize (corn),100 g/ha,14750.0,64.95,999.87,22.91
1961,United Republic of Tanzania,Rice,100 g/ha,11463.0,70,1629.14,22.15
1962,United Republic of Tanzania,Rice,100 g/ha,12530.0,68.43,1307.54,21.63
1963,United Republic of Tanzania,Rice,100 g/ha,15913.0,69.48,1373.67,21.49
1964,United Republic of Tanzania,Rice,100 g/ha,13393.0,67.98,1194.79,21.64
1965,United Republic of Tanzania,Rice,100 g/ha,13028.0,68,1216.09,21.63
1966,United Republic of Tanzania,Rice,100 g/ha,10479.0,66.12,1054.77,22.22
1967,United Republic of Tanzania,Rice,100 g/ha,9972.0,67.96,1219.83,21.99
1968,United Republic of Tanzania,Rice,100 g/ha,8125.0,69.17,1344.77,21.54
1969,United Republic of Tanzania,Rice,100 g/ha,9767.0,65.58,989.75,22.35
1970,United Republic of Tanzania,Rice,100 g/ha,8742.0,67.53,1271.25,21.94
1971,United Republic of Tanzania,Rice,100 g/ha,11176.0,67.51,1249.93,21.6
1972,United Republic of Tanzania,Rice,100 g/ha,12065.0,71.98,1577.36,21.67
1973,United Republic of Tanzania,Rice,100 g/ha,23008.0,67.67,1209.01,22.17
1974,United Republic of Tanzania,Rice,100 g/ha,13681.0,67.12,1172.11,21.86
1975,United Republic of Tanzania,Rice,100 g/ha,12990.0,66.85,1166.57,21.99
1976,United Republic of Tanzania,Rice,100 g/ha,12959.0,66.36,1169.91,22.16
1977,United Republic of Tanzania,Rice,100 g/ha,12922.0,68.85,1430.23,22.19
1978,United Republic of Tanzania,Rice,100 g/ha,15000.0,69.11,1394.92,21.97
1979,United Republic of Tanzania,Rice,100 g/ha,10077.0,69.51,1360.99,21.95
1980,United Republic of Tanzania,Rice,100 g/ha,11878.0,67.9,1157.52,22.19
1981,United Republic of Tanzania,Rice,100 g/ha,7143.0,67.9,1144.94,22.21
1982,United Republic of Tanzania,Rice,100 g/ha,10667.0,69.93,1328.51,22.21
1983,United Republic of Tanzania,Rice,100 g/ha,15583.0,68.12,1134.95,22.64
1984,United Republic of Tanzania,Rice,100 g/ha,13104.0,68.87,1244.75,21.89
1985,United Republic of Tanzania,Rice,100 g/ha,18081.0,68.89,1213.41,21.86
1986,United Republic of Tanzania,Rice,100 g/ha,20006.0,69.3,1402.88,21.95
1987,United Republic of Tanzania,Rice,100 g/ha,18355.0,68.7,1140.79,22.62
1988,United Republic of Tanzania,Rice,100 g/ha,17837.0,67.17,1086.04,22.69
1989,United Republic of Tanzania,Rice,100 g/ha,18646.0,70.17,1343.02,21.92
1990,United Republic of Tanzania,Rice,100 g/ha,19246.0,68.48,1109.77,22.32
1991,United Republic of Tanzania,Rice,100 g/ha,16941.0,68.33,1183.28,22.41
1992,United Republic of Tanzania,Rice,100 g/ha,12794.0,67.08,1021.88,22.33
1993,United Republic of Tanzania,Rice,100 g/ha,18123.0,64.31,884.54,22.64
1994,United Republic of Tanzania,Rice,100 g/ha,17422.0,66.72,1154.4,22.6
1995,United Republic of Tanzania,Rice,100 g/ha,15802.0,65.83,998.67,22.63
1996,United Republic of Tanzania,Rice,100 g/ha,15715.0,65.6,967.31,22.41
1997,United Republic of Tanzania,Rice,100 g/ha,12513.0,66.42,1251.33,22.67
1998,United Republic of Tanzania,Rice,100 g/ha,12973.0,66.42,1090.15,22.74
1999,United Republic of Tanzania,Rice,100 g/ha,19219.0,64.76,921.45,22.39
2000,United Republic of Tanzania,Rice,100 g/ha,18805.0,64.34,965.32,22.54
2001,United Republic of Tanzania,Rice,100 g/ha,21379.0,66.82,978.23,22.33
2002,United Republic of Tanzania,Rice,100 g/ha,17408.0,67.6,1161.93,22.41
2003,United Republic of Tanzania,Rice,100 g/ha,17670.0,64.01,766.1,22.95
2004,United Republic of Tanzania,Rice,100 g/ha,17263.0,66.07,1033.49,22.67
2005,United Republic of Tanzania,Rice,100 g/ha,16634.0,63.51,764,23.21
2006,United Republic of Tanzania,Rice,100 g/ha,19031.0,66.72,1188.89,22.77
2007,United Republic of Tanzania,Rice,100 g/ha,24048.0,66.23,955.71,22.82
2008,United Republic of Tanzania,Rice,100 g/ha,16004.0,66.04,1001.42,22.52
2009,United Republic of Tanzania,Rice,100 g/ha,16568.0,64.49,950.63,23.02
2010,United Republic of Tanzania,Rice,100 g/ha,23323.0,64.69,968.48,23.09
2011,United Republic of Tanzania,Rice,100 g/ha,20086.0,67.03,1155.68,22.81
2012,United Republic of Tanzania,Rice,100 g/ha,22525.0,65.55,1016.96,22.89
2013,United Republic of Tanzania,Rice,100 g/ha,23643.0,64.86,1046.19,22.96
2014,United Republic of Tanzania,Rice,100 g/ha,27381.0,66.76,1074.59,22.94
2015,United Republic of Tanzania,Rice,100 g/ha,25812.0,66.38,1071.83,23.2
2016,United Republic of Tanzania,Rice,100 g/ha,27698.0,65.53,990.02,23.2
2017,United Republic of Tanzania,Rice,100 g/ha,22343.0,65.84,1050.88,23.33
2018,United Republic of Tanzania,Rice,100 g/ha,33060.0,67.76,1171.65,22.8
2019,United Republic of Tanzania,Rice,100 g/ha,33013.0,67.95,1231.8,23.28
2020,United Republic of Tanzania,Rice,100 g/ha,33047.0,69.37,1327.04,22.92
2021,United Republic of Tanzania,Rice,100 g/ha,29939.0,66.08,903.38,22.97
2022,United Republic of Tanzania,Rice,100 g/ha,28622.0,64.95,999.87,22.91
1961,United Republic of Tanzania,Wheat,100 g/ha,7625.0,70,1629.14,22.15
1962,United Republic of Tanzania,Wheat,100 g/ha,9766.0,68.43,1307.54,21.63
1963,United Republic of Tanzania,Wheat,100 g/ha,11143.0,69.48,1373.67,21.49
1964,United Republic of Tanzania,Wheat,100 g/ha,10840.0,67.98,1194.79,21.64
1965,United Republic of Tanzania,Wheat,100 g/ha,10006.0,68,1216.09,21.63
1966,United Republic of Tanzania,Wheat,100 g/ha,11256.0,66.12,1054.77,22.22
1967,United Republic of Tanzania,Wheat,100 g/ha,11322.0,67.96,1219.83,21.99
1968,United Republic of Tanzania,Wheat,100 g/ha,11579.0,69.17,1344.77,21.54
1969,United Republic of Tanzania,Wheat,100 g/ha,10789.0,65.58,989.75,22.35
1970,United Republic of Tanzania,Wheat,100 g/ha,9500.0,67.53,1271.25,21.94
1971,United Republic of Tanzania,Wheat,100 g/ha,7662.0,67.51,1249.93,21.6
1972,United Republic of Tanzania,Wheat,100 g/ha,9638.0,71.98,1577.36,21.67
1973,United Republic of Tanzania,Wheat,100 g/ha,15351.0,67.67,1209.01,22.17
1974,United Republic of Tanzania,Wheat,100 g/ha,17826.0,67.12,1172.11,21.86
1975,United Republic of Tanzania,Wheat,100 g/ha,12321.0,66.85,1166.57,21.99
1976,United Republic of Tanzania,Wheat,100 g/ha,13061.0,66.36,1169.91,22.16
1977,United Republic of Tanzania,Wheat,100 g/ha,19298.0,68.85,1430.23,22.19
1978,United Republic of Tanzania,Wheat,100 g/ha,13462.0,69.11,1394.92,21.97
1979,United Republic of Tanzania,Wheat,100 g/ha,15963.0,69.51,1360.99,21.95
1980,United Republic of Tanzania,Wheat,100 g/ha,14063.0,67.9,1157.52,22.19
1981,United Republic of Tanzania,Wheat,100 g/ha,18627.0,67.9,1144.94,22.21
1982,United Republic of Tanzania,Wheat,100 g/ha,12789.0,69.93,1328.51,22.21
1983,United Republic of Tanzania,Wheat,100 g/ha,15540.0,68.12,1134.95,22.64
1984,United Republic of Tanzania,Wheat,100 g/ha,15958.0,68.87,1244.75,21.89
1985,United Republic of Tanzania,Wheat,100 g/ha,16961.0,68.89,1213.41,21.86
1986,United Republic of Tanzania,Wheat,100 g/ha,18137.0,69.3,1402.88,21.95
1987,United Republic of Tanzania,Wheat,100 g/ha,18228.0,68.7,1140.79,22.62
1988,United Republic of Tanzania,Wheat,100 g/ha,14153.0,67.17,1086.04,22.69
1989,United Republic of Tanzania,Wheat,100 g/ha,16768.0,70.17,1343.02,21.92
1990,United Republic of Tanzania,Wheat,100 g/ha,20381.0,68.48,1109.77,22.32
1991,United Republic of Tanzania,Wheat,100 g/ha,16700.0,68.33,1183.28,22.41
1992,United Republic of Tanzania,Wheat,100 g/ha,14555.0,67.08,1021.88,22.33
1993,United Republic of Tanzania,Wheat,100 g/ha,13420.0,64.31,884.54,22.64
1994,United Republic of Tanzania,Wheat,100 g/ha,12090.0,66.72,1154.4,22.6
1995,United Republic of Tanzania,Wheat,100 g/ha,13817.0,65.83,998.67,22.63
1996,United Republic of Tanzania,Wheat,100 g/ha,13957.0,65.6,967.31,22.41
1997,United Republic of Tanzania,Wheat,100 g/ha,13869.0,66.42,1251.33,22.67
1998,United Republic of Tanzania,Wheat,100 g/ha,11217.0,66.42,1090.15,22.74
1999,United Republic of Tanzania,Wheat,100 g/ha,14363.0,64.76,921.45,22.39
2000,United Republic of Tanzania,Wheat,100 g/ha,4561.0,64.34,965.32,22.54
2001,United Republic of Tanzania,Wheat,100 g/ha,17076.0,66.82,978.23,22.33
2002,United Republic of Tanzania,Wheat,100 g/ha,25106.0,67.6,1161.93,22.41
2003,United Republic of Tanzania,Wheat,100 g/ha,27520.0,64.01,766.1,22.95
2004,United Republic of Tanzania,Wheat,100 g/ha,19488.0,66.07,1033.49,22.67
2005,United Republic of Tanzania,Wheat,100 g/ha,28838.0,63.51,764,23.21
2006,United Republic of Tanzania,Wheat,100 g/ha,20667.0,66.72,1188.89,22.77
2007,United Republic of Tanzania,Wheat,100 g/ha,10986.0,66.23,955.71,22.82
2008,United Republic of Tanzania,Wheat,100 g/ha,10046.0,66.04,1001.42,22.52
2009,United Republic of Tanzania,Wheat,100 g/ha,5521.0,64.49,950.63,23.02
2010,United Republic of Tanzania,Wheat,100 g/ha,11429.0,64.69,968.48,23.09
2011,United Republic of Tanzania,Wheat,100 g/ha,10404.0,67.03,1155.68,22.81
2012,United Republic of Tanzania,Wheat,100 g/ha,9915.0,65.55,1016.96,22.89
2013,United Republic of Tanzania,Wheat,100 g/ha,9700.0,64.86,1046.19,22.96
2014,United Republic of Tanzania,Wheat,100 g/ha,16573.0,66.76,1074.59,22.94
2015,United Republic of Tanzania,Wheat,100 g/ha,8468.0,66.38,1071.83,23.2
2016,United Republic of Tanzania,Wheat,100 g/ha,11094.0,65.53,990.02,23.2
2017,United Republic of Tanzania,Wheat,100 g/ha,11839.0,65.84,1050.88,23.33
2018,United Republic of Tanzania,Wheat,100 g/ha,10901.0,67.76,1171.65,22.8
2019,United Republic of Tanzania,Wheat,100 g/ha,15029.0,67.95,1231.8,23.28
2020,United Republic of Tanzania,Wheat,100 g/ha,12879.0,69.37,1327.04,22.92
2021,United Republic of Tanzania,Wheat,100 g/ha,10000.0,66.08,903.38,22.97
2022,United Republic of Tanzania,Wheat,100 g/ha,12500.0,64.95,999.87,22.91
1961,Zambia,Maize (corn),100 g/ha,8800.0,65.99,1412.91,20.99
1962,Zambia,Maize (corn),100 g/ha,8533.0,61.4,1323.66,21.3
1963,Zambia,Maize (corn),100 g/ha,7403.0,63.73,1285.09,21.18
1964,Zambia,Maize (corn),100 g/ha,8354.0,58.65,1030.57,21.29
1965,Zambia,Maize (corn),100 g/ha,8750.0,58.05,917.02,21.16
1966,Zambia,Maize (corn),100 g/ha,9390.0,60.27,1022.52,21.73
1967,Zambia,Maize (corn),100 g/ha,9277.0,61.86,1041.16,21.31
1968,Zambia,Maize (corn),100 g/ha,8235.0,57.95,1043.12,21.38
1969,Zambia,Maize (corn),100 g/ha,8046.0,63.45,1387.26,21.28
1970,Zambia,Maize (corn),100 g/ha,6333.0,59.74,1068.48,21.52
1971,Zambia,Maize (corn),100 g/ha,9212.0,60.22,1128.44,21.13
1972,Zambia,Maize (corn),100 g/ha,11433.0,62.28,1123.4,21.21
1973,Zambia,Maize (corn),100 g/ha,8915.0,59.51,996.33,21.55
1974,Zambia,Maize (corn),100 g/ha,10272.0,63.78,1269.45,20.69
1975,Zambia,Maize (corn),100 g/ha,14541.0,60.95,1021.9,21.07
1976,Zambia,Maize (corn),100 g/ha,14927.0,64.5,1268.38,20.68
1977,Zambia,Maize (corn),100 g/ha,16925.0,61.55,1229.57,21.63
1978,Zambia,Maize (corn),100 g/ha,17049.0,65.1,1553.55,21.12
1979,Zambia,Maize (corn),100 g/ha,16880.0,63.89,1189.86,21.04
1980,Zambia,Maize (corn),100 g/ha,16875.0,61.37,1037.64,21.4
1981,Zambia,Maize (corn),100 g/ha,20399.0,60.82,1050.91,21.34
1982,Zambia,Maize (corn),100 g/ha,16507.0,62.46,1130.99,21.47
1983,Zambia,Maize (corn),100 g/ha,17108.0,59.51,1050.38,22.29
1984,Zambia,Maize (corn),100 g/ha,17211.0,60.54,1084.54,21.62
1985,Zambia,Maize (corn),100 g/ha,19289.0,61.57,1155.58,21.22
1986,Zambia,Maize (corn),100 g/ha,20911.0,64.56,1241.96,21.08
1987,Zambia,Maize (corn),100 g/ha,17447.0,58.08,940.8,22.35
1988,Zambia,Maize (corn),100 g/ha,26874.0,62.11,1045.11,21.82
1989,Zambia,Maize (corn),100 g/ha,18078.0,62.57,1229.9,21.46
1990,Zambia,Maize (corn),100 g/ha,14316.0,60.65,996,21.93
1991,Zambia,Maize (corn),100 g/ha,17140.0,61,1057.78,21.64
1992,Zambia,Maize (corn),100 g/ha,7311.0,57.64,876.5,22.23
1993,Zambia,Maize (corn),100 g/ha,25228.0,62.12,1184.34,21.7
1994,Zambia,Maize (corn),100 g/ha,15025.0,57.53,949.6,21.86
1995,Zambia,Maize (corn),100 g/ha,14185.0,56.7,899.3,22.47
1996,Zambia,Maize (corn),100 g/ha,20864.0,57.93,1015.71,22.11
1997,Zambia,Maize (corn),100 g/ha,14794.0,61.28,1162.85,21.94
1998,Zambia,Maize (corn),100 g/ha,12503.0,57.86,1059.97,22.43
1999,Zambia,Maize (corn),100 g/ha,13759.0,59.85,1015.56,21.69
2000,Zambia,Maize (corn),100 g/ha,17720.0,61.94,1194.31,21.68
2001,Zambia,Maize (corn),100 g/ha,13780.0,62.15,1153.29,21.72
2002,Zambia,Maize (corn),100 g/ha,16709.0,60.18,977.02,22.06
2003,Zambia,Maize (corn),100 g/ha,17256.0,60.24,1030.66,21.96
2004,Zambia,Maize (corn),100 g/ha,19239.0,61.93,1127.89,21.63
2005,Zambia,Maize (corn),100 g/ha,18594.0,56.45,851.13,22.57
2006,Zambia,Maize (corn),100 g/ha,23013.0,62.15,1120.13,21.71
2007,Zambia,Maize (corn),100 g/ha,23342.0,60.79,1172.68,21.85
2008,Zambia,Maize (corn),100 g/ha,22442.0,59.48,1171.54,21.59
2009,Zambia,Maize (corn),100 g/ha,20692.0,62.7,1147.68,21.61
2010,Zambia,Maize (corn),100 g/ha,25871.0,62.42,1202.17,22.08
2011,Zambia,Maize (corn),100 g/ha,27414.0,61.84,1120.29,21.73
2012,Zambia,Maize (corn),100 g/ha,26545.0,60.51,1127.04,21.91
2013,Zambia,Maize (corn),100 g/ha,25382.0,59.09,1090.13,22.21
2014,Zambia,Maize (corn),100 g/ha,27802.0,59.47,1068.38,22.27
2015,Zambia,Maize (corn),100 g/ha,30310.0,59.38,1027.52,22.35
2016,Zambia,Maize (corn),100 g/ha,24816.0,58.71,1109.01,22.49
2017,Zambia,Maize (corn),100 g/ha,25151.0,62.65,1258.9,21.98
2018,Zambia,Maize (corn),100 g/ha,22052.0,59.75,1119.48,22.29
2019,Zambia,Maize (corn),100 g/ha,23814.0,58.63,1012.55,22.6
2020,Zambia,Maize (corn),100 g/ha,25402.0,60.67,1272.78,22.15
2021,Zambia,Maize (corn),100 g/ha,25674.0,59.61,1050.65,22.11
2022,Zambia,Maize (corn),100 g/ha,24261.0,61.6,1299.88,21.91
1968,Zambia,Rice,100 g/ha,3930.0,57.95,1043.12,21.38
1969,Zambia,Rice,100 g/ha,4121.0,63.45,1387.26,21.28
1970,Zambia,Rice,100 g/ha,4079.0,59.74,1068.48,21.52
1971,Zambia,Rice,100 g/ha,5529.0,60.22,1128.44,21.13
1972,Zambia,Rice,100 g/ha,7465.0,62.28,1123.4,21.21
1973,Zambia,Rice,100 g/ha,5622.0,59.51,996.33,21.55
1974,Zambia,Rice,100 g/ha,7139.0,63.78,1269.45,20.69
1975,Zambia,Rice,100 g/ha,10308.0,60.95,1021.9,21.07
1976,Zambia,Rice,100 g/ha,10792.0,64.5,1268.38,20.68
1977,Zambia,Rice,100 g/ha,8455.0,61.55,1229.57,21.63
1978,Zambia,Rice,100 g/ha,7697.0,65.1,1553.55,21.12
1979,Zambia,Rice,100 g/ha,5974.0,63.89,1189.86,21.04
1980,Zambia,Rice,100 g/ha,4339.0,61.37,1037.64,21.4
1981,Zambia,Rice,100 g/ha,4985.0,60.82,1050.91,21.34
1982,Zambia,Rice,100 g/ha,8905.0,62.46,1130.99,21.47
1983,Zambia,Rice,100 g/ha,13731.0,59.51,1050.38,22.29
1984,Zambia,Rice,100 g/ha,10608.0,60.54,1084.54,21.62
1985,Zambia,Rice,100 g/ha,10497.0,61.57,1155.58,21.22
1986,Zambia,Rice,100 g/ha,10772.0,64.56,1241.96,21.08
1987,Zambia,Rice,100 g/ha,9486.0,58.08,940.8,22.35
1988,Zambia,Rice,100 g/ha,9158.0,62.11,1045.11,21.82
1989,Zambia,Rice,100 g/ha,9159.0,62.57,1229.9,21.46
1990,Zambia,Rice,100 g/ha,9664.0,60.65,996,21.93
1991,Zambia,Rice,100 g/ha,10857.0,61,1057.78,21.64
1992,Zambia,Rice,100 g/ha,5764.0,57.64,876.5,22.23
1993,Zambia,Rice,100 g/ha,10138.0,62.12,1184.34,21.7
1994,Zambia,Rice,100 g/ha,8859.0,57.53,949.6,21.86
1995,Zambia,Rice,100 g/ha,12426.0,56.7,899.3,22.47
1996,Zambia,Rice,100 g/ha,13447.0,57.93,1015.71,22.11
1997,Zambia,Rice,100 g/ha,10049.0,61.28,1162.85,21.94
1998,Zambia,Rice,100 g/ha,7059.0,57.86,1059.97,22.43
1999,Zambia,Rice,100 g/ha,9119.0,59.85,1015.56,21.69
2000,Zambia,Rice,100 g/ha,11333.0,61.94,1194.31,21.68
2001,Zambia,Rice,100 g/ha,12562.0,62.15,1153.29,21.72
2002,Zambia,Rice,100 g/ha,12562.0,60.18,977.02,22.06
2003,Zambia,Rice,100 g/ha,14416.0,60.24,1030.66,21.96
2004,Zambia,Rice,100 g/ha,17749.0,61.93,1127.89,21.63
2005,Zambia,Rice,100 g/ha,12864.0,56.45,851.13,22.57
2006,Zambia,Rice,100 g/ha,9726.0,62.15,1120.13,21.71
2007,Zambia,Rice,100 g/ha,15126.0,60.79,1172.68,21.85
2008,Zambia,Rice,100 g/ha,13833.0,59.48,1171.54,21.59
2009,Zambia,Rice,100 g/ha,16390.0,62.7,1147.68,21.61
2010,Zambia,Rice,100 g/ha,16778.0,62.42,1202.17,22.08
2011,Zambia,Rice,100 g/ha,17974.0,61.84,1120.29,21.73
2012,Zambia,Rice,100 g/ha,17255.0,60.51,1127.04,21.91
2013,Zambia,Rice,100 g/ha,14151.0,59.09,1090.13,22.21
2014,Zambia,Rice,100 g/ha,14949.0,59.47,1068.38,22.27
2015,Zambia,Rice,100 g/ha,14248.0,59.38,1027.52,22.35
2016,Zambia,Rice,100 g/ha,12077.0,58.71,1109.01,22.49
2017,Zambia,Rice,100 g/ha,12992.0,62.65,1258.9,21.98
2018,Zambia,Rice,100 g/ha,14214.0,59.75,1119.48,22.29
2019,Zambia,Rice,100 g/ha,12038.0,58.63,1012.55,22.6
2020,Zambia,Rice,100 g/ha,13989.0,60.67,1272.78,22.15
2021,Zambia,Rice,100 g/ha,14893.0,59.61,1050.65,22.11
2022,Zambia,Rice,100 g/ha,15735.0,61.6,1299.88,21.91
1961,Zambia,Wheat,100 g/ha,16000.0,65.99,1412.91,20.99
1962,Zambia,Wheat,100 g/ha,16859.0,61.4,1323.66,21.3
1963,Zambia,Wheat,100 g/ha,20140.0,63.73,1285.09,21.18
1964,Zambia,Wheat,100 g/ha,14759.0,58.65,1030.57,21.29
1965,Zambia,Wheat,100 g/ha,22766.0,58.05,917.02,21.16
1966,Zambia,Wheat,100 g/ha,19756.0,60.27,1022.52,21.73
1967,Zambia,Wheat,100 g/ha,16583.0,61.86,1041.16,21.31
1968,Zambia,Wheat,100 g/ha,13333.0,57.95,1043.12,21.38
1969,Zambia,Wheat,100 g/ha,22000.0,63.45,1387.26,21.28
1970,Zambia,Wheat,100 g/ha,10100.0,59.74,1068.48,21.52
1971,Zambia,Wheat,100 g/ha,10000.0,60.22,1128.44,21.13
1972,Zambia,Wheat,100 g/ha,9900.0,62.28,1123.4,21.21
1973,Zambia,Wheat,100 g/ha,10000.0,59.51,996.33,21.55
1974,Zambia,Wheat,100 g/ha,29517.0,63.78,1269.45,20.69
1975,Zambia,Wheat,100 g/ha,30481.0,60.95,1021.9,21.07
1976,Zambia,Wheat,100 g/ha,49350.0,64.5,1268.38,20.68
1977,Zambia,Wheat,100 g/ha,33590.0,61.55,1229.57,21.63
1978,Zambia,Wheat,100 g/ha,33381.0,65.1,1553.55,21.12
1979,Zambia,Wheat,100 g/ha,31086.0,63.89,1189.86,21.04
1980,Zambia,Wheat,100 g/ha,40688.0,61.37,1037.64,21.4
1981,Zambia,Wheat,100 g/ha,32875.0,60.82,1050.91,21.34
1982,Zambia,Wheat,100 g/ha,38189.0,62.46,1130.99,21.47
1983,Zambia,Wheat,100 g/ha,35926.0,59.51,1050.38,22.29
1984,Zambia,Wheat,100 g/ha,37883.0,60.54,1084.54,21.62
1985,Zambia,Wheat,100 g/ha,34312.0,61.57,1155.58,21.22
1986,Zambia,Wheat,100 g/ha,49994.0,64.56,1241.96,21.08
1987,Zambia,Wheat,100 g/ha,37404.0,58.08,940.8,22.35
1988,Zambia,Wheat,100 g/ha,42465.0,62.11,1045.11,21.82
1989,Zambia,Wheat,100 g/ha,47219.0,62.57,1229.9,21.46
1990,Zambia,Wheat,100 g/ha,43938.0,60.65,996,21.93
1991,Zambia,Wheat,100 g/ha,43841.0,61,1057.78,21.64
1992,Zambia,Wheat,100 g/ha,41004.0,57.64,876.5,22.23
1993,Zambia,Wheat,100 g/ha,50737.0,62.12,1184.34,21.7
1994,Zambia,Wheat,100 g/ha,52692.0,57.53,949.6,21.86
1995,Zambia,Wheat,100 g/ha,48705.0,56.7,899.3,22.47
1996,Zambia,Wheat,100 g/ha,55771.0,57.93,1015.71,22.11
1997,Zambia,Wheat,100 g/ha,66221.0,61.28,1162.85,21.94
1998,Zambia,Wheat,100 g/ha,56681.0,57.86,1059.97,22.43
1999,Zambia,Wheat,100 g/ha,69777.0,59.85,1015.56,21.69
2000,Zambia,Wheat,100 g/ha,62102.0,61.94,1194.31,21.68
2001,Zambia,Wheat,100 g/ha,66667.0,62.15,1153.29,21.72
2002,Zambia,Wheat,100 g/ha,62500.0,60.18,977.02,22.06
2003,Zambia,Wheat,100 g/ha,64286.0,60.24,1030.66,21.96
2004,Zambia,Wheat,100 g/ha,61181.0,61.93,1127.89,21.63
2005,Zambia,Wheat,100 g/ha,62104.0,56.45,851.13,22.57
2006,Zambia,Wheat,100 g/ha,54946.0,62.15,1120.13,21.71
2007,Zambia,Wheat,100 g/ha,61511.0,60.79,1172.68,21.85
2008,Zambia,Wheat,100 g/ha,99387.0,59.48,1171.54,21.59
2009,Zambia,Wheat,100 g/ha,56991.0,62.7,1147.68,21.61
2010,Zambia,Wheat,100 g/ha,63118.0,62.42,1202.17,22.08
2011,Zambia,Wheat,100 g/ha,63068.0,61.84,1120.29,21.73
2012,Zambia,Wheat,100 g/ha,68135.0,60.51,1127.04,21.91
2013,Zambia,Wheat,100 g/ha,65435.0,59.09,1090.13,22.21
2014,Zambia,Wheat,100 g/ha,71559.0,59.47,1068.38,22.27
2015,Zambia,Wheat,100 g/ha,68802.0,59.38,1027.52,22.35
2016,Zambia,Wheat,100 g/ha,66005.0,58.71,1109.01,22.49
2017,Zambia,Wheat,100 g/ha,72439.0,62.65,1258.9,21.98
2018,Zambia,Wheat,100 g/ha,52808.0,59.75,1119.48,22.29
2019,Zambia,Wheat,100 g/ha,66878.0,58.63,1012.55,22.6
2020,Zambia,Wheat,100 g/ha,73680.0,60.67,1272.78,22.15
2021,Zambia,Wheat,100 g/ha,67905.0,59.61,1050.65,22.11
2022,Zambia,Wheat,100 g/ha,69986.0,61.6,1299.88,21.91
1961,Zimbabwe,Maize (corn),100 g/ha,11929.0,58.61,660.75,20.99
1962,Zimbabwe,Maize (corn),100 g/ha,11175.0,59.37,936.52,21.3
1963,Zimbabwe,Maize (corn),100 g/ha,9600.0,60.27,704.39,21.18
1964,Zimbabwe,Maize (corn),100 g/ha,9547.0,55.62,586.78,21.29
1965,Zimbabwe,Maize (corn),100 g/ha,10960.0,53.74,297.69,21.16
1966,Zimbabwe,Maize (corn),100 g/ha,11370.0,58.15,689.29,21.73
1967,Zimbabwe,Maize (corn),100 g/ha,17743.0,60.47,580.63,21.31
1968,Zimbabwe,Maize (corn),100 g/ha,13236.0,55.12,621.01,21.38
1969,Zimbabwe,Maize (corn),100 g/ha,17639.0,62.5,916.68,21.28
1970,Zimbabwe,Maize (corn),100 g/ha,12022.0,54.26,504.13,21.52
1971,Zimbabwe,Maize (corn),100 g/ha,19011.0,56.07,607.19,21.13
